nonprofit_name,url,mission_vision_services,causes,phone,email,website,address,city,state,hours,ein,scraping_status
Agape Water International Safe Haven (AWISH),https://www.givingconnection.org/locations/805,"Mission: Our goal is to prepare the community with the tools essential to living a healthy and prosperous life. We want the community to be able to accept that things may not go as planned. However, through A-WISH, the city will be equipped to tackle any hurdle! “In life, you will face many hurdles. If you keep your posture & attack, you will overcome them. Services: PINK STAR DIAMONDS (PSD) Serves Middle & High School Young Ladies We meet once a month and focus on self awareness. We tackle topics such as; self esteem, youth obesity, hygiene, manners, bullying, and suicide prevention. We also teach the young ladies how to identify child predators and human traffickers. (Y'MOV) Young Men of Valor Serves Middle School Aged Young Men We meet once a month and focus on being brave in the time of danger. The young men learn how to use positive tactics to overcome difficulties. They also focus on; hygiene, youth obesity, self esteem, puberty, bullying, and suicide prevention. H.E.A.R.T.S (Hands Everywhere Adapting, Relating, Teaching, Strong) Stand in the Gap Program This program focuses on single parent/guardian households, specializing in families with a parent/guardian that are incarcerated or deceased. COMMUNITY SERVICE This program helps youth in the community obtain service hours by volunteering to clean roads within the community.","Human & Social Services, Youth Development",,agapewater4@gmail.com,http://a-wish.yolasite.com,"PO Box 1192, Mays Landing, NJ 08330",Mays Landing,NJ,No Set Business Hours - Call to Inquire,,success
American Association of University Women,https://www.givingconnection.org/locations/807,"Mission: Our membership includes women of all ages and backgrounds who are advocates for empowerment. Through partnerships with organizations committed to educational equity, we have initiated programs that have benefited generations of local women and children. Our branch has always been a catalyst for positive change in our community. Since 1917, we have welcomed women who are committed to progress through education. Vision: Intersectional. Inclusive. Intergenerational. Empowering. Though we are nonpartisan, we are not values-neutral: We fight to remove the barriers and biases that stand in the way of gender equity. We train women to negotiate for pay and benefits and to pursue leadership roles. And we advocate for federal, state and local laws and policies to ensure equity and end discrimination. AAUW Atlantic County NJ Branch -Welcomes those with an Associate degree, Baccalaureate or higher degree to join over 100 members in the Atlantic County NJ region. -Provides a friendly meeting place for dynamic, educated women of diverse ages, occupations, and ethnic backgrounds to gather, learn and socialize. -Presents monthly branch meetings featuring guest presenters on topics relevant to current social, political and cultural issues. -Hosts annual Scholarship Fundraiser Luncheon and other special events as requested by our membership -Offers a wide range of special interest groups to our membership such as the International Relations -Study Group, Book Club, Ethnic Luncheons, Travel Discussion Group, Movie Group, and Towards a More -Just Society Study Group -Promotes life-long learning opportunities through theater and concert outings, museum visits and field trips. -Co-sponsors the Children’s Theater with Richard Stockton University -Hosts fundraising events to support scholarships and local branch community initiatives. -Publishes and distributes monthly newsletter, The Forum, to all members via email and hard copy.",Philanthropy,,aauwnj@gmail.com,https://ac-nj.aauw.net/,"5 S Union Ave, Margate City, NJ 08402, USA",Margate City,NJ,No Set Business Hours - Call to Inquire,,success
Atlantic Cape Family Support Organization,https://www.givingconnection.org/locations/808,"Mission: The Atlantic Cape Family Support Organization is a partner in the NJ Children’s System of Care with Cape Atlantic Integrated Network for Kids and Atlanticare’s Mobile Response and Stabilization Services. We began providing quality services to families of both Atlantic and Cape May counties in 2001. We offer family-centered, strength-based, culturally competent, individualized, community based and accessible services to families and youth with emotional, behavioral, mental health, substance use or intellectual/developmental challenges as well as juvenile justice involvement. Our staff are parents or caregivers whose children have experienced similar challenges as the families we serve. Therefore, we are peer driven and can relate to the challenges families must confront. Most importantly we offer hope and can provide support you need to make it through the journey you are on and let you know you’re not alone. Services: Food Pantry On every Thursday, at our Northfield office, we offer food from the Community Food Bank of SJ to families in need, between 10AM-2PM. Families, who meet eligibility criteria, are permitted to visit one time per month. In accordance with Federal law and U.S. Department of Agriculture (USDA) civil rights regulations and policies, this institution is prohibited from discriminating a on the basis of race, color, national origin, sex, age, disability, and reprisal or retaliation for prior civil rights activity. Youth Partnership ACFSO engages youth between the ages of 12 and 21 years old to participate in our Youth Partnership program. Members are encouraged to support each other so no one feels alone. Members work together to develop healthier self-esteem, social skills and work ethics. Meetings are held at our Northfield office on the each Tuesday at 6:00 PM. 1st Tuesday is Jr. Youth Partnership Group – ages 9-12 years old, 2nd and 4th Tuesday is Youth Partnership – ages 13-21 years old and 3rd Tuesday is Young Lady’s Power group – ages 13-21 years old. Family Support/Individual ACFSO provides face-to-face support, education and advocacy to assist parents and caregivers develop strategies to meet the challenges before them. We meet caregivers at the place and time that is convenient for them, assessing the family’s needs. We provide family-centered, strength bases, culturally competent, individual community based and accessible services by developing a sustainable plan with caregivers. We attend meetings pertinent to the family and child to give support when developing service or educational plans, including during critical situations such as hospitalization or entering out-of-home placement. We provide relevant and meaningful information and resources to assist caregivers. We advocate for the family in schools, courts, and to other agencies providing services. Our primary goal is to empower the parent or caregiver to advocate for their child and to have their voice heard. Parent Support Groups ACFSO offers parent support group meetings in both Atlantic and Cape May Counties. We meet in Northfield, Atlantic County in person on the 1st and 3rd Wednesdays. In Cape May County, we meet on 1st and 3rd Tuesday at 6PM at Lower Township Recreation Center, 2600 Bay Shore Road, Villas. In addition, we have Support Group in Spanish on the 1st and 3rd Monday at 7pm and 2nd and 3rd Tuesday at 11am, via Zoom. Our parent support groups provide a forum for parents and caregivers to support each other as well as hear from experts in various fields to learn about community resources. Coffee Chat ACFSO offers caregivers the opportunity to join this group for discussions regarding health, lifestyle, family relationships, children’s activities, nutrition, budgeting and some many other meaningful topics. This forum gives caregivers the chance to meet other caregivers for interaction, friendship and other helpful information. We meet every Friday in Atlantic County at 10am. Coffee Chat South ACFSO offers caregivers the opportunity to join this group for discussions regarding health, lifestyle, family relationships, children’s activities, nutrition, budgeting and some many other meaningful topics. This forum gives caregivers the chance to meet other caregivers for interaction, friendship and other helpful information. Coffee Chat South support groups meet the 2nd and 4th Wednesday at 10am at Family Success Center in Rio Grande. Hospital Companions When your youth is in crisis and families are at their local screening center, Cape Regional Medical Center in Cape May county, it is a difficult time and the ACFSO is there to help families cope. We offer support, education and advocacy to families to help them understand what to expect and how to navigate this system of care. We can also offer limited respite care so that parents can leave the hospital to get something to eat or take care of personal matter. On a case-by-care basis limited transported can be provided. Warm Line We offer telephone support to parents and caregivers as we attempt to answer questions or sometimes just listen. We can also refer parents to relevant community resources. Community Outreach We attend health fairs, public forums, school events, and the like in an effort to meet parents, caregivers and community providers to share resources and offer support. We advocate when necessary for change and maintain a good relationship with elected officials to advance the cause for parents and caregivers. For life threatening situation, call 911, but if your child or teen is experiencing an escalating emotional or behavioral issue call (877) 652-7624 for immediate support.","Children & Family Services, Mental Health",609-485-0575,,https://www.acfamsupport.org/,"950 Tilton Road, Northfield, NJ, USA",Northfield,NJ,Closed; Mon - Fri10:30 AM -  6:30 PM (EDT); SatClosed; SunClosed,,success
Angels In Motion,https://www.givingconnection.org/locations/811,"Mission: AIM is changing the way those suffering with the disease of addiction are treated one life at a time. Susan Long, LSW, LCADC, CTP, DRCC is in long term recovery and was a volunteer for AIM in Philadelphia for several years before starting the New Jersey Chapter with volunteer Kerry Sullivan, which primarily serves the Atlantic City/County local population. Since that time, AIM’s presence in Atlantic County has grown tremendously and is the largest grassroots non-profit organization serving this population in the county. Susan is joined in AIM leadership by Lisa Bee, who lost her son Mathew to addiction in 2017. Lisa has since been working hand-in-hand with members of the community and Angels in Motion to help those who still suffer to find solutions. Lisa brings compasssion, kindness, and love onto the streets and treats those that are served as family. Together, they provide strong leadership and oversight to a group of many dedicated volunteers that include Certified Peer Recovery Specialists (CPRS), social workers, and persons in long term recovery with lived experience of substance use disorder, homelessness, and mental health challenges. Services: Street Outreach The concept of AIM was formed three years ago when we started to reach out to people struggling with the disease of addiction in the city of Philadelphia and the surrounding ares. There are over 10,000 members, and over 100 active volunteers. Since AIM started I have become a Certified Recovery Specialist and this has become my full time job. AIM distributes over 1,500 blessing bags monthly consisting of non-perishable snacks to the homeless and those in active addiction. This is how we build trust and a relationship with each of them. We assist and transport over 100 people monthly to get into treatment, get to doctor’s appointments, obtain ID’s, get insurance reinstated and provide CRS services. Weekly Outreach Our weekly outreach takes place each Wednesday in an isolated parking on Kentucky Avenue in Atlantic City. We typically have over 100 people in line, to whom we serve meals, blessing bags, social services, clothing, & toiletries. We often schedule outreach on various days in addition to Wednesdays, which include luncheon outreach events in the park, Sunday Pleasantville outreach, and Holiday Outreach Days which include serving Holiday meals, blessing bags, social services, clothing (including hats, gloves, scarfs and coats in the Winter), & toiletries. Blessing Bags Our staple outreach engagement tool is a blessing bag. The blessing bags are extremely important as they are meaningful to our clients, and they are used as our initial engagement tool. These bags are a perfect way to make that first contact and start building trust with our angels on the streets. Each bag contains snacks, drinks, handmade note of encouragement, and an AIM resource pamphlet with information and phone numbers to call when seeking shelter, social services, medical assistance, or detox/treatment. ​ Recovery Support Services Recovery support services that are provided on a daily basis consist of providing treatment options and direct linkages, recovery housing, transportation, necessities, sober living funding (if and when funds are available) and connections to care. Why Loving Kindness Angels in Motion believes in accepting people and meeting them where they are with love, compassion, and understanding. Knowing and accepting everyone’s path is different and so is everyone’s recovery. Our goal is support, not judgment.",Drug & Alcohol Treatment,609-226-7014,aim.angelsinmotionnj@gmail.com,https://www.angelsinmotionnj.com/,"Atlantic City, NJ, USA",Atlantic City,NJ,Always Open,,success
Atlanticare Health System Inc,https://www.givingconnection.org/locations/815,"Mission: AtlantiCare is an integrated system of services designed to help people achieve optimal health. It comprises AtlantiCare Regional Health Services including AtlantiCare Regional Medical Center with three locations, ambulatory services and AtlantiCare Physician Group; the AtlantiCare Foundation; and AtlantiCare Health Solutions, an accountable care organization. The region’s largest healthcare organization and largest non-casino employer, AtlantiCare’s more than 6,500 staff and providers serve the community in more than 100 locations in five southern New Jersey counties. AtlantiCare and its business units are governed by boards of volunteer community leaders. Its focus is to serve the community as a provider of health and wellness services. See all locations by visiting https://www.atlanticare.org/find-a-location/. Services: Find a Service or Specialty From bariatric surgery to cancer and cardiac care, AtlantiCare offers a remarkable array of services to meet your diverse health care needs. Audiology Anesthesiology Bariatric Surgery Behavioral Health Cancer Care Diabetes Diversity, Equity & Inclusion Ear Nose and Throat ENT Emergency Care Endocrinology Eye Care Federally Qualified Health Center Heartburn/GERD Heart and Lung Care Home Healthcare Home Hospice Hospital Medicine Imaging Services Laboratory Services LifeCenter Fitness LIFE Connection (PACE) Maternity Care Medical Spa Neurology and Neurosurgery Occupational Health Orthopedic Care Outpatient Rehabilitation Palliative Care Pediatrics Pharmacy Services Primary Care Pulmonary Research Rheumatology Sleep Center Spine Care Stroke Care Surgery Telemedicine Trauma Center Urgent Care Virtual Primary Care Women's Health Wound Care Urology AtlantiCare's vision of building healthy communities is reflected in everything we do. From primary and urgent care services to inpatient medical care, we strive to achieve, maintain or return each member of the community to optimal health. Our commitment to community extends well beyond medical care to these unique programs and services designed to nurture health and wellness. Healthy Schools, Healthy Children. With childhood obesity on the rise, we feel an urgent need to teach kids in our community how to eat healthy, stay active and establish wholesome habits for a lifetime. AtlantiCare Growing Green. In support of AtlantiCare’s vision to build healthy communities, Growing Green AtlantiCare addresses root causes of chronic disease by increasing consumption of healthy foods through the creation of access points for fresh, local produce. AtlantiCare Healing Arts. Paintings brighten hospital corridors. Photography accents a medical office lobby. Sculpture brings a landscaped courtyard to life. Art in the healthcare setting is helping to make AtlantiCare’s public spaces more appealing. Midtown Atlantic City Neighborhood Revitalization: AtlantiCare is proud to play a key role in the revitalization of Midtown Atlantic City. This neighborhood-led effort which includes economic development and infrastructure improvements is just another way AtlantiCare continues to build healthy communities.",Health,609-345-4000,,https://www.atlanticare.org/,"1925 Pacific Avenue, Atlantic City, NJ 08401, USA",Atlantic City,NJ,Always Open,,success
Avanzar,https://www.givingconnection.org/locations/816,"Mission: To empower individuals and families, we work to secure their physical safety, emotional well-being, individual freedom, and economic equality. Services: DOMESTIC VIOLENCE & SEXUAL ASSAULT PROGRAMS The Domestic Violence program and the Sexual Assault program work to reduce the physical, psychological and emotional trauma, recurrence of domestic violence, sexual assault and incest experienced by victims and their families. All VIP services are free and confidential. 24-Hour Hotline: If you or someone you know is involved in a crisis, call (800)-286-4184 or (609)-646-6767, and for the hearing impaired, we offer a text line, (609)-569-5437. Trained counselors and staff are on call 365 days a year to assist you with crisis intervention, emotional support, information about the emergency shelter, counseling, legal advocacy and other community and social service resources. Shelter: 24-hour, temporary, emergency and protective housing, in a confidential location, for you and your children to stay until your domestic violence crisis passes or you can relocate. Counseling: Because domestic abuse and sexual assault are crimes of violence, you may feel overwhelmed with feelings of isolation, distrust, anger, guilt, depression and/or loss. You do not have to face the trauma of violence alone. Individual, family and/or group counseling can help promote healing and positive change in your life. Father’s Ending Abuse: Counseling for batterers to control anger and eliminate abusive behavior. You will learn how to break the cycle of violence in a supportive group environment facilitated by a trained counselor. For more information contact our Father’s Ending Abuse Program at (609)-601-9925 ext. 1018. Legal Advocacy: If you are a victim of domestic violence or sexual assault and need legal assistance, AVANZAR can support you through the criminal justice process. AVANZAR will help ensure that your safety and rights are protected however, we cannot offer legal representation or provide you will an attorney. However, our Legal Services Coordinator can give you information, counseling, accompaniment and follow-up support through the confusing, and often overwhelming, legal system. Sexual Assault Response Team/Forensic Nurse Examiner Program (SART/FNE): If you have been sexually assaulted, you may choose to activate a Sexual Assault Response Team. The team is a group of professionals and volunteers trained to provide compassionate emotional support to sexual assault victims while using state-of-the-art evidence collection tools and techniques for use in prosecuting offenders. Each Sexual Assault Response Team includes a forensic nurse examiner, a rape crisis advocate, a law enforcement officer and an assistant prosecutor. Domestic Violence Response Team (DVRT): AVANZAR trains police department volunteers to become certified crisis counselors who respond to the station immediately following a domestic violence incident to ensure quality support services are provided to the victim. These services include: counseling, assistance with filing a complaint and obtaining a temporary restraining order, locating temporary safe housing, and educating about the issues and implications of domestic violence. Sexual Assault Volunteer Coordinator: AVANZAR will help train volunteers to become crisis advocates through our 40-hour training session. In this training session, trainees will go out on sexual assault calls at local hospitals and accompany victims to the police stations to make a report on their assault. Primary Prevention Specialist: AVANZAR offers classes on rape prevention by teaching media literacy and safe dating (Healthy Relationships). Media literacy will help inform you on the affects of how we see others in a negative way. An example of this would be the objectification of women and how it is exploited through the media, thus misleading others into believing that women are objects. Community Education: Specialized training and community awareness presentations are available for all professional and community-based organizations to further understanding and awareness of domestic violence and sexual assault issues. Trainings and presentations may be tailored to your organization/audience needs. For more information on community education, please email your request to Percy Figueroa at percy.figueroa@avanzarnow.org. Emergency Cellular Phone Program: Cellular phones re-programmed to automatically dial 911 and/or AVANZAR’s 24-hour hotline are provided at no cost to domestic violence victims who are in imminent physical danger.","Children & Family Services, Emergency & Safety, Housing & Homelessness",800-286-4184,webinfo@acwc.org,https://avanzarnow.org/,"927 North Main Street building d, Pleasantville, NJ 08232, USA",Pleasantville,NJ,Always Open,,success
Charity League of Atlantic County,https://www.givingconnection.org/locations/817,"Mission: Charity League of Atlantic County raises over $150,000 every year for women and children in need in Atlantic County. The main fundraiser is the annual Christmas pins, handcrafted each year by members. Services: It is the policy of the Charity League to assist social agencies in atlantic county, nj by rendering services and financial assistance to them through charitable drives that are approved by the governing board.",Philanthropy,(609) 271-0592,info.thecharityleague@gmail.com,https://charityleague-ac.com/,"Somers Point, NJ 08244, USA",Somers Point,NJ,No Set Business Hours - Call to Inquire,,success
Bayada Hospice,https://www.givingconnection.org/locations/827,"Mission: Bayada Home Health Care, Inc. has a special purpose—to help people have a safe home life with comfort, independence, and dignity. Bayada Home Health Care aims to provide nursing, rehabilitative, therapeutic, hospice, and assistive care services to children, adults, and seniors worldwide. Services: BAYADA Pediatrics At BAYADA Pediatrics, we treat every child and their family as an extension of our own. With your child’s medical needs and safety as our highest priority, we strive to build close relationships and trust, bring as much normalcy and peace of mind as possible, and help parents and siblings feel cared for and supported—just like a real family would do in times of need. We will match your child with skilled and compassionate clinicians who are just right for your entire family. A dedicated support team is available to our nurses and to you, so every question is answered, every request is responded to, and every fear is eased. We understand there’s nothing more precious to parents than the health and well-being of their child, so we are humbled by the confidence and trust our families place in us. Adult Nursing | Private Duty Nursing At Home and in Your Community Count on BAYADA for high-quality long-term medical care, rehabilitative care, and family support for adult clients living with chronic illness, injury, or disability. If hospitalized, call us prior to discharge to ease your transition to home nursing. Flexible schedules and on-call support are available 24/7, with day and overnight options that give clients and their loved ones the peace of mind and safety they need to enjoy their best quality of life in the home of their choice with comfort, independence, and dignity. Adult Care and Medicare-certified Visits The pride our caregivers bring to their work is evident in the quality of care they deliver to our clients. Helping others achieve independence, stay safe, and enjoy a better quality of life at home is a calling that comes from within. It’s just who we are, and serving others is our highest priority and greatest joy. BAYADA Personal Care and Companionship The pride our caregivers bring to their work is evident in the quality of care they deliver to our clients. Helping others achieve independence, stay safe, and enjoy a better quality of life at home is a calling that comes from within. It’s just who we are, and serving others is our highest priority and greatest joy. BAYADA Home Health Care Habilitation Services Helping those with special needs to live more independently BAYADA Habilitation is an accredited program that helps clients with intellectual and developmental disabilities to live safely at home and participate in their communities with comfort, independence, and dignity. This specialty program serves clients in North Carolina, and Pennsylvania, who have autism spectrum disorders, intellectual and developmental disabilities, cerebral palsy, and other developmental disabilities. While many of the services we provide involve personal care assistance, what sets BAYADA apart is our focus on community integration. Our approach to habilitation involves teaching clients to do things for themselves — like brushing their teeth, managing money, shopping for personal items. Together, we help our clients to live more independently and safely at home and in the community, while offering periodic relief for family members and caregivers through respite services. The Commission on Accreditation of Rehabilitation Facilities International (CARF) has validated our efforts in community integration, respite, and personal support services. Hospice: Compassionate Care at the End of Life When you or someone you love is facing a limited life expectancy, it can be a deeply challenging time for everyone. The end of a life can be an emotional and spiritual journey for the whole family—not an easy experience while taking care of many practical needs at the same time. Approaching the end of life can be difficult, but it's also a normal, natural process that can be peaceful, profound, and even joyful with the right support.","Health, Seniors",(888)-470-7545,,http://bayada.com,"1201 New Rd suite 138, Linwood, NJ 08221, USA",Linwood,NJ,Always Open,,success
Cape Atlantic Intergroup of Alcoholics Anonymous (AA),https://www.givingconnection.org/locations/819,"Mission: Alcoholics Anonymous has grown to a global movement where one member of A.A. helps another person achieve sobriety. The 12 Step Program of recovery began over 85 years ago, with the two men, Bill and Bob finding other men to help get sober. Alcoholics Anonymous is a fellowship of people who come together to solve their drinking problem. There are no age or education requirements to participate. Membership is open to anyone who wants to do something about their drinking problem. Services: Attendance at any A.A. meeting is completely free. Typically a basket is passed during a meeting for donations (to cover coffee or rent) but no one is obligated to make a contribution. There are no membership requirements to attend an A.A. meetings. Sponsorship in Recovery A Sponsor is another A.A. member who has been through The Steps, and can share with you their experience and recovery. By going through the steps, you discover more about yourself and how to lead a life of purpose. Each meeting can provide a list of members willing to be a temporary Sponsor. AA Hotline The Hotline is answered by sober members of Alcoholics Anonymous. We do not have a call center; Hotline calls are automatically routed to the personal phones of volunteers 24/7 where individuals can connect to support and get help with a drinking problem. OTHER A.A. HOTLINES Northern NJ Intergroup -800-245-1377 Central NJ Intergroup -609-586-6900 Southern NJ Intergroup -856-486-4444",Drug & Alcohol Treatment,609-641-8855,webchair@capeatlanticaa.org,https://capeatlanticaa.org/,"1418 New Rd suite 4, Northfield, NJ 08225, USA",Northfield,NJ,No Set Business Hours - Call to Inquire,,success
Built with Love,https://www.givingconnection.org/locations/820,"Mission: Provide new build-a-bears to children in need at various hospitals and local organizations. We've also supported the homeless population by supplying food, clothing, shelter, and other various needs. Built With Love, is a New Jersey Nonprofit Corporation and public charity founded to comfort children battling physical or emotional trauma. Since our inception, we've grown leaps and bounds due to community and overall support. What started with Build-a-Bears, has evolved into so much more. Services: With the grant we received and the public support, in addition to providing hundreds of brand new build-a-bears to local institutions, we were also able to fund a room at the Ronald McDonald House for one year. This means that any family that stays in our room throughout the year will not be responsible for paying. Build-A-Bear Our charity began by giving one sick little boy a build-a-bear in hopes he would find some comfort in it. From there we've expanded to purchasing and taking donations of brand new build-a-bears to distribute to local hospitals, institutions, or even struggling families that could use them. We've done hundreds of bears with each trip and do many of our deliveries around the holidays when families are away from home. Feeding the Homeless Our family and organization are committed to helping who we can, when we can. We often make home cooked meals at home, get out into our community, and distribute to those that need it the most. Many shelters and food kitchens don't offer these services on Sundays so we're trying to fill that void as best we can. Bagsagainstbullies We are running an anti-bullying campaign called Bags Against Bullies which will bring empathy education into classrooms and combat bullying at its core. Empathy Rocks is eight 45 minute lessons, one per month, that teach children about empathy through recent events in the United States. Students learn about what happened, and how empathy helped heal and solve problems afterward. At the end of each lesson they complete an art project, and after the final lesson a service learning project. After one year of the program: 100% of teachers reported an increase in kids acting empathetically without prompting 100% of teachers said students had more respect for people who are different from them 96% of teachers say they saw an improvement in classroom climate 87% of teachers reported a decrease in bullying 96% of students said they felt they learned something of value and will consider more other people’s feelings With bullying on the rise in U.S. schools and increasingly diverse classrooms and communities, the need for empathy has never been more important. Each year, more than 3.2 million students are bullied, while an estimated 160,000 students miss school for fear of being bullied. Bullying hurts everyone. It hurts the educational environment by affecting every child's ability to learn, it can cause lifelong anxiety and depression for victims, while others experience thoughts of suicide or self-harm. 1 in 10 kids drop out of school due to bullying Over 70% of kids say bullying is a problem 81% of bullying goes unreported In over 77% of aggressive incidents, bystanders did not intervene Because most bullying goes unreported, and so few kids intervene when witnessed, we have to empower children to help one another bring an end to bullying. If you have empathy for someone, and care about how they feel, it makes it extremely difficult to intentionally hurt them. Empathy is part of emotional education and teaching children to think of the way others feel helps them to develop empathy. The more kids learn kindness now, the more kind adults there will be in the future.","Children & Family Services, Housing & Homelessness",609-402-6083,builtwithlovecharity@gmail.com,https://www.builtwithlovecharity.com/,"28 Shoreline Rd, Egg Harbor Township, NJ, USA",Egg Harbor Township,NJ,No Set Business Hours - Call to Inquire,,success
Food Bank of South Jersey,https://www.givingconnection.org/locations/833,"Mission: The Food Bank of South Jersey exists to provide an immediate solution to the urgent problem of hunger by providing food to people in need, teaching them to eat nutritiously, and helping them to find sustainable ways to improve their lives. Services: Kids Cafe/Kidz Pack For after-school assistance, our Kids Cafe program supplies dinner and nutritious snacks in safe, supervised environments. For assistance on weekend, when school meals are not available, our Kidz Pack program bridges the gap. Every Friday during the school year, FBSJ provides at-risk school children with nutritionally-balanced grocery items to help sustain them over the weekend. This assures consistent nutrition for all and helps stretch the family budget. Twilight Harvest Through our Twilight Harvest program which includes a federal supplemental food program, FBSJ relieves the economic pressure that many seniors feel. Each month, we deliver boxes with food and ingredients directly to low-income senior complexes and living facilities. Seniors are able to prepare two weeks worth of balanced meals from our supplies, getting a timely boost that contributes to their physical and mental well-being. Summer Meals For assistance during the summer, our Summer Meals Program picks up where school feeding programs end. We supply breakfast and lunches Monday through Friday, for 10 summer weeks, to thousands of children attending camps, learning centers, and similar settings, so that consistent access to food is not jeopardized during the long summer recess. With the addition of the “Bus Stop Café” – a renovated and air conditioned school bus featuring a new interior design with a built-in dining room – children gather together to enjoy meals and socialize. The program offers peace of mind to parents, too – as it takes some of the burden of replacing school provided meals once summer begins. Hope Mobile/School Pantry The struggles of low-income families typically involve trade-offs on necessities. Far too often they are forced to make sacrifices on food, cutting back on the amount purchased or settling for low quality, less-nutritious items. We help families make ends meet through our partnerships with pantries, where they can obtain nutrient-dense food from a trusted community source. Because not every family lives close to one of our partner agencies or to a full-service grocery store, we launched our Hope Mobile, an 18-wheel tractor trailer that functions as a mobile food pantry. Each month, it transports thousands of pounds of shelf-stable foods, fresh produce, meat and dairy products to needy families, in designated locations known as ""food deserts"" throughout our service area. And through our School Pantry program, FBSJ works with school administrators and parent-teacher organizations to identify and directly assist families who can benefit most from deliveries of healthy, supplemental groceries. Health and Wellness The FBSJ Health and Wellness (H&W) department is FBSJ’s educational complement to our core feeding program. Through a combination of classroom instruction and cooking demonstration, H&W shares the value of nutrition awareness and empowers participants across our communities to adopt healthy eating behaviors. Cooking Matters® programs offered in partnership with Share Our Strength, consist of classes with content tailored for children, teens, and families. In partnership with Oldways, H&W offers an adult curriculum that embraces healthy, cultural eating traditions with courses such as A Taste of African Heritage and A Taste of Latin American Heritage. These hands-on lessons transfer skills that enable those with limited means to become smarter shoppers and to make nutritious meals from basic foods.",Hunger & Food Security,856-662-4884,info@foodbanksj.org,https://foodbanksj.org/,"1501 John Tipton Blvd, Pennsauken, NJ 08110, USA",Pennsauken,NJ,Closed; Mon - Fri10:30 AM -  6:30 PM (EDT); SatClosed; SunClosed,,success
Global Care Project Inc.,https://www.givingconnection.org/locations/835,"Mission: We believe that every individual deserves an opportunity to become the best version of themselves, we achieve this by assisting individuals and family members in obtaining the supports and services that best meet the needs and preferences of the individual to reach their full potential and help them integrate into the community with minimal difficulties. At Global Care New Jersey, LLC’s our goal/mission is to provide first class support services and build fruitful relationship with individuals with developmental disabilities, mental health challenges, people with physical, emotional and psychological challenges, by assisting individuals and family members in obtaining the supports and services that best meet the needs and preferences of the individual to reach their full potential and help them integrate into the community with minimal difficulties. We utilize a person-centered planning process to distinguish support needs, planning goals, and outcomes then apply this knowledge to develop and maintain an Individualized Service Plan (ISP). Services: SUPPORT COORDINATION Support Coordination is one of the service models provided by Global Care New Jersey, LLC. At Global Care New Jersey, LLC we assist participants in gaining access to needed program and State plan services, as well as needed medical, social, educational and other services. The Support Coordinator is responsible for developing and maintaining the Individualized Service Plan with the participant, their family, and other team members designated by the participant. The Support Coordinator is responsible for the ongoing monitoring of the provision of services included in the Individualized Service Plan (ISP). At Global Care New Jersey, LLC you will be dealing with highly skilled and licensed professionals with over 10 years of experience providing services to individuals with intellectual and developmental disabilities, who will work for, and with you and your family to identify not only the services that are needed and necessary for your full and complete integration into your community, but we will also bring to your attention the various provider agencies who can better offer those services, and where and how you will access those services. That way you should be able to make an informed choice. Our support coordinators are always on time, even at short notice. You will receive prompt and timely follow-up backed by solid teamwork and collaboration infused with deep knowledge and understanding of DDD system, policies and practices. Our support coordinators use the person-centered approach which targets: -Helping individuals/families build on their own capacities, strengths, and talents. -Identifying what brings joy to individuals and their families, and find ways to incorporate these things in their lives. -Observing and listening. Focusing on what is working and what is not. What do people want more of and what things they want to change? -Helping people understand risk and making choices that are meaningful to them. -Helping individuals put their goals and dreams into reality. At Global Care New Jersey, LLC we plan ahead, helping us to overcome barriers. Our practice generally results in: -High quality person-centered planning session. -Motivated and willing team members. -An easily understandable summary of the person’s dreams, hopes, and overall vision of a good life. -Specific goals and deliverable with actions steps, with clearly delineated and assigned responsibilities. A date of completion will also be included. (Action plan) -A plan and date for coming back together and reviewing accomplishments, celebrating, and brainstorming next steps. -A plan for supporting each other between meetings. Our Commitment to You -Meet with and begin the person-centered planning process with the individual and/or their families within 10 days of assignment. -Complete the Person-Centered Planning Tool prior to the development of the service plan -Complete and approve the ISP within 30 days of assignment -Mail the approved ISP and the SDR to all service providers and team members within 3 days of approval -Monitor service provision every 30 days at a minimum -Write and/or review the annual ISP for approval",Health,609-905-0887,info@globalcarenj.org,https://www.globalcarenj.org/,"58 Concord Boulevard, Sicklerville, NJ 08081, USA",Sicklerville,NJ,No Set Business Hours - Call to Inquire,,success
Grace Assembly of God - Food pantry,https://www.givingconnection.org/locations/836,Mission: We are a reflection of the body of Christ: a multiracial church reaching a multicultural world with the unifying Gospel of Jesus. Our mission is to be a worshiping people; a praying community with a worldwide witness through comprehensive evangelism and a discipleship training center for our common denominator Jesus Christ.,"Faith-Based, Hunger & Food Security",609-345-2730,GraceAssemblyAC@hotmail.com,https://www.graceassemblyofgodchurch.com/,"201 Atlantic Ave, Atlantic City, NJ 08401, USA",Atlantic City,NJ,No Set Business Hours - Call to Inquire,,success
